tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude
35556,Permitted Site,Jacaranda mimosifolia :: Jacaranda,121 Fair Oaks St,1.0,Sidewalk: Curb side : Cutout,Private,1998-03-23,,,37.7547556297845,-122.42416602832701
34065,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,1960 Folsom St,1.0,Sidewalk: Curb side : Cutout,Private,1998-02-21,,,37.7659492963405,-122.41545873051099
46524,Permitted Site,Lophostemon confertus :: Brisbane Box,2355 Folsom St,12.0,Sidewalk: Curb side : Cutout,Private,2002-03-29,,,37.7596259002337,-122.414668990427
39818,Permitted Site,Cordyline australis :: Dracena Palm,2101 46th Ave,2.0,Sidewalk: Curb side : Cutout,Private,1999-01-06,,,37.7473074654157,-122.505100399713
13110,DPW Maintained,Ficus retusa nitida :: Banyan Fig,1599 Lombard St,2.0,Sidewalk: Curb side : Cutout,Private,1994-06-22,16.0,3x3,37.800844477708004,-122.427376906198
30915,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,212 Granada Ave,1.0,Sidewalk: Curb side : Cutout,Private,1995-03-13,4.0,,37.7219682791959,-122.45709260475401
41729,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,99X 14th St,3.0,Sidewalk: Curb side : Cutout,Private,2000-06-19,,,37.7684640195804,-122.415516624702
36799,DPW Maintained,Quercus rubra :: Red Oak,1355 Donner Ave,1.0,Sidewalk: Curb side : Cutout,Private,1998-05-26,4.0,,37.7217360581121,-122.389514780813
106923,Undocumented,Ceanothus 'Ray Hartman' :: California Lilac 'Ray Hartman',196 States St,1.0,Sidewalk: Property side : Yard,Private,2014-06-30,,,37.7637969766711,-122.43958767886002
12332,Permitted Site,Fraxinus oxycarpa 'Raywood' :: Raywood Ash,1105X Turk St,1.0,Sidewalk: Curb side : Cutout,Private,2005-12-15,3.0,3X3,37.78103749568189,-122.427347425327
54993,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,681 16th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1972-09-12,4.0,,37.775251821012795,-122.474801107552
69070,Permitted Site,Pittosporum crassifolium :: Karo Tree,1418 14th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1994-01-10,,,37.7615659811295,-122.471421651008
36338,Permitted Site,Prunus serrulata :: Ornamental Cherry,47 Eastwood Dr,2.0,Sidewalk: Curb side : Cutout,Private,1998-05-14,,,37.7264778306363,-122.45733685578699
35854,Permitted Site,Prunus x yedoensis :: Yoshino Cherry,142 Russia Ave,4.0,Sidewalk: Curb side : Cutout,Private,1998-05-02,,,37.7209827425077,-122.43608467293801
93373,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',2800 Turk Blvd,19.0,Sidewalk: Curb side : Cutout,DPW,2008-11-24,3.0,3x3,37.7780894288895,-122.451577860296
39087,Permitted Site,Lophostemon confertus :: Brisbane Box,3140 21st St,2.0,Sidewalk: Curb side : Cutout,Private,1998-11-18,,,37.757184385901496,-122.41761479761601
12788,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1933 Lake St,1.0,Sidewalk: Curb side : Cutout,Private,2006-03-23,6.0,3X3,37.7858901196349,-122.480398844283
45603,DPW Maintained,Ficus retusa nitida :: Banyan Fig,1100 Fillmore St,4.0,Sidewalk: Curb side : Cutout,Private,2001-08-06,14.0,,37.779665941263104,-122.43171536011101
5221,Permitted Site,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,1009X Divisadero St,1.0,Sidewalk: Curb side : Cutout,Private,2005-02-15,5.0,3X3,37.7787991574032,-122.438708711528
48670,Permitted Site,Magnolia grandiflora :: Southern Magnolia,30 Wilder St,1.0,Sidewalk: Curb side : Cutout,Private,2002-09-05,,,37.734014073420404,-122.43242669172501
